date,series_key,value
2024-03-07,interbank_on,1.17
2024-03-08,interbank_1m,2.05
2024-03-08,interbank_1w,1.0
2024-03-08,interbank_2w,1.47
2024-03-08,interbank_3m,2.54
2024-03-08,interbank_6m,4.12
2024-03-08,interbank_on,0.77
2024-03-11,interbank_1m,1.45
2024-03-11,interbank_1w,1.29
2024-03-11,interbank_2w,1.33
2024-03-11,interbank_3m,2.82
2024-03-11,interbank_6m,4.3
2024-03-11,interbank_on,0.76
2024-03-12,interbank_1m,1.88
2024-03-12,interbank_1w,1.67
2024-03-12,interbank_2w,1.75
2024-03-12,interbank_3m,2.65
2024-03-12,interbank_6m,4.51
2024-03-12,interbank_on,1.47
2024-03-13,interbank_1m,2.01
2024-03-13,interbank_1w,1.68
2024-03-13,interbank_2w,1.81
2024-03-13,interbank_3m,3.06
2024-03-13,interbank_6m,4.56
2024-03-13,interbank_on,1.47
2024-03-14,interbank_1m,1.57
2024-03-14,interbank_1w,1.45
2024-03-14,interbank_2w,1.74
2024-03-14,interbank_3m,2.89
2024-03-14,interbank_6m,4.27
2024-03-14,interbank_on,1.21
2024-03-15,interbank_1m,1.6
2024-03-15,interbank_1w,1.1
2024-03-15,interbank_2w,1.43
2024-03-15,interbank_3m,3.36
2024-03-15,interbank_6m,4.53
2024-03-15,interbank_on,0.79
2024-03-18,interbank_1m,1.6
2024-03-18,interbank_1w,0.81
2024-03-18,interbank_2w,1.17
2024-03-18,interbank_3m,2.98
2024-03-18,interbank_6m,3.76
2024-03-18,interbank_on,0.5
2024-03-19,interbank_1m,1.67
2024-03-19,interbank_1w,0.47
2024-03-19,interbank_2w,1.21
2024-03-19,interbank_3m,2.78
2024-03-19,interbank_6m,4.61
2024-03-19,interbank_on,0.22
2024-03-20,interbank_1m,1.7
2024-03-20,interbank_1w,0.58
2024-03-20,interbank_2w,1.25
2024-03-20,interbank_3m,2.68
2024-03-20,interbank_6m,3.99
2024-03-20,interbank_on,0.16
2024-03-21,interbank_1m,1.58
2024-03-21,interbank_1w,0.48
2024-03-21,interbank_2w,1.18
2024-03-21,interbank_3m,2.77
2024-03-21,interbank_6m,4.3
2024-03-21,interbank_on,0.13
2024-03-22,interbank_1m,1.61
2024-03-22,interbank_1w,0.49
2024-03-22,interbank_2w,1.19
2024-03-22,interbank_3m,2.84
2024-03-22,interbank_6m,4.25
2024-03-22,interbank_on,0.13
2024-03-25,interbank_1m,2.26
2024-03-25,interbank_1w,0.82
2024-03-25,interbank_2w,1.52
2024-03-25,interbank_3m,2.75
2024-03-25,interbank_6m,4.43
2024-03-25,interbank_on,0.27
2024-03-26,interbank_1m,2.29
2024-03-26,interbank_1w,1.38
2024-03-26,interbank_2w,1.87
2024-03-26,interbank_3m,3.03
2024-03-26,interbank_6m,4.25
2024-03-26,interbank_on,0.32
2024-03-27,interbank_1m,2.36
2024-03-27,interbank_1w,1.56
2024-03-27,interbank_2w,2.04
2024-03-27,interbank_3m,3.1
2024-03-27,interbank_6m,4.48
2024-03-27,interbank_on,0.28
2024-03-28,interbank_1m,3.16
2024-03-28,interbank_1w,1.7
2024-03-28,interbank_2w,1.97
2024-03-28,interbank_3m,3.82
2024-03-28,interbank_6m,4.2
2024-03-28,interbank_on,0.31
2024-03-29,interbank_1m,3.8
2024-03-29,interbank_1w,2.98
2024-03-29,interbank_2w,2.71
2024-03-29,interbank_3m,3.29
2024-03-29,interbank_6m,4.31
2024-03-29,interbank_on,2.51
2024-04-01,interbank_1m,3.66
2024-04-01,interbank_1w,3.78
2024-04-01,interbank_2w,3.52
2024-04-01,interbank_3m,3.97
2024-04-01,interbank_6m,4.41
2024-04-01,interbank_on,3.45
2024-04-02,interbank_1m,4.0
2024-04-02,interbank_1w,4.54
2024-04-02,interbank_2w,4.29
2024-04-02,interbank_3m,4.6
2024-04-02,interbank_6m,4.52
2024-04-02,interbank_on,4.36
2024-04-03,interbank_1m,4.3
2024-04-03,interbank_1w,4.71
2024-04-03,interbank_2w,4.47
2024-04-03,interbank_3m,4.07
2024-04-03,interbank_6m,4.87
2024-04-03,interbank_on,4.59
2024-04-04,interbank_1m,4.35
2024-04-04,interbank_1w,4.22
2024-04-04,interbank_2w,3.94
2024-04-04,interbank_3m,4.03
2024-04-04,interbank_6m,4.68
2024-04-04,interbank_on,3.9
2024-04-05,interbank_1m,3.81
2024-04-05,interbank_1w,2.92
2024-04-05,interbank_2w,3.24
2024-04-05,interbank_3m,3.93
2024-04-05,interbank_6m,4.68
2024-04-05,interbank_on,2.69
2024-04-08,interbank_1m,3.22
2024-04-08,interbank_1w,2.96
2024-04-08,interbank_2w,3.29
2024-04-08,interbank_3m,3.96
2024-04-08,interbank_6m,4.8
2024-04-08,interbank_on,2.66
2024-04-09,interbank_1m,3.71
2024-04-09,interbank_1w,3.87
2024-04-09,interbank_2w,3.72
2024-04-09,interbank_3m,3.83
2024-04-09,interbank_6m,4.95
2024-04-09,interbank_on,3.66
2024-04-10,interbank_1m,3.71
2024-04-10,interbank_1w,4.13
2024-04-10,interbank_2w,4.18
2024-04-10,interbank_3m,4.01
2024-04-10,interbank_6m,4.72
2024-04-10,interbank_on,3.93
2024-04-11,interbank_1m,3.69
2024-04-11,interbank_1w,3.98
2024-04-11,interbank_2w,3.87
2024-04-11,interbank_3m,3.97
2024-04-11,interbank_6m,4.76
2024-04-11,interbank_on,3.85
2024-04-12,interbank_1m,4.13
2024-04-12,interbank_1w,4.33
2024-04-12,interbank_2w,4.24
2024-04-12,interbank_3m,4.0
2024-04-12,interbank_6m,4.7
2024-04-12,interbank_on,4.18
2024-04-15,interbank_1m,4.36
2024-04-15,interbank_1w,4.88
2024-04-15,interbank_2w,4.73
2024-04-15,interbank_3m,4.5
2024-04-15,interbank_6m,4.74
2024-04-15,interbank_on,4.7
2024-04-16,interbank_1m,4.54
2024-04-16,interbank_1w,5.25
2024-04-16,interbank_2w,4.73
2024-04-16,interbank_3m,4.66
2024-04-16,interbank_6m,4.78
2024-04-16,interbank_on,4.94
2024-04-17,interbank_1m,5.06
2024-04-17,interbank_1w,5.18
2024-04-17,interbank_2w,5.22
2024-04-17,interbank_3m,4.74
2024-04-17,interbank_6m,4.96
2024-04-17,interbank_on,4.95
2024-04-19,interbank_1m,4.37
2024-04-19,interbank_1w,4.24
2024-04-19,interbank_2w,4.24
2024-04-19,interbank_3m,4.64
2024-04-19,interbank_6m,5.08
2024-04-19,interbank_on,3.93
2024-04-22,interbank_1m,4.22
2024-04-22,interbank_1w,4.37
2024-04-22,interbank_2w,4.29
2024-04-22,interbank_3m,4.85
2024-04-22,interbank_6m,4.42
2024-04-22,interbank_on,3.87
2024-04-23,interbank_1m,4.33
2024-04-23,interbank_1w,4.37
2024-04-23,interbank_2w,4.48
2024-04-23,interbank_3m,4.79
2024-04-23,interbank_6m,6.63
2024-04-23,interbank_on,4.07
2024-04-24,interbank_1m,4.46
2024-04-24,interbank_1w,4.53
2024-04-24,interbank_2w,4.68
2024-04-24,interbank_3m,4.84
2024-04-24,interbank_6m,5.16
2024-04-24,interbank_on,4.22
2024-04-25,interbank_1m,4.81
2024-04-25,interbank_1w,4.45
2024-04-25,interbank_2w,4.73
2024-04-25,interbank_3m,4.79
2024-04-25,interbank_6m,6.24
2024-04-25,interbank_on,4.08
2024-04-26,interbank_1m,4.83
2024-04-26,interbank_1w,4.66
2024-04-26,interbank_2w,4.7
2024-04-26,interbank_3m,5.01
2024-04-26,interbank_6m,5.34
2024-04-26,interbank_on,4.6
2024-05-02,interbank_1m,4.59
2024-05-02,interbank_1w,4.62
2024-05-02,interbank_2w,4.72
2024-05-02,interbank_3m,5.62
2024-05-02,interbank_6m,5.34
2024-05-02,interbank_on,4.48
2024-05-03,interbank_1m,4.48
2024-05-03,interbank_1w,4.58
2024-05-03,interbank_2w,4.55
2024-05-03,interbank_3m,5.05
2024-05-03,interbank_6m,5.39
2024-05-03,interbank_on,4.36
2024-05-04,interbank_1m,4.9
2024-05-04,interbank_1w,4.3
2024-05-04,interbank_2w,4.85
2024-05-04,interbank_3m,4.6
2024-05-04,interbank_6m,5.39
2024-05-04,interbank_on,4.31
2024-05-06,interbank_1m,4.38
2024-05-06,interbank_1w,4.49
2024-05-06,interbank_2w,4.57
2024-05-06,interbank_3m,4.89
2024-05-06,interbank_6m,5.23
2024-05-06,interbank_on,4.28
2024-05-07,interbank_1m,4.5
2024-05-07,interbank_1w,4.39
2024-05-07,interbank_2w,4.67
2024-05-07,interbank_3m,4.87
2024-05-07,interbank_6m,5.35
2024-05-07,interbank_on,4.19
