date,series_key,value
2015-01-29,d_round_1_0,113.96
2015-01-29,d_round_1_5,113.86
2015-01-29,d_round_2_0,120.91
2015-01-29,d_round_3_0,167.29
2015-01-29,d_round_4_0,218.25
2015-01-29,d_round_5_0,184.51
2015-01-29,d_total,124.01
2015-01-30,d_round_0_5,106.61
2015-01-30,d_round_0_7,110.57
2015-01-30,d_round_0_9,108.61
2015-01-30,d_round_1_0,113.75
2015-01-30,d_round_1_5,113.51
2015-01-30,d_round_2_0,120.71
2015-01-30,d_round_3_0,166.67
2015-01-30,d_round_4_0,217.33
2015-01-30,d_round_5_0,177.6
2015-01-30,d_total,123.66
2015-01-31,d_round_0_5,107.42
2015-01-31,d_round_0_7,111.48
2015-01-31,d_round_0_9,109.3
2015-01-31,d_round_1_0,114.78
2015-01-31,d_round_1_5,114.26
2015-01-31,d_round_2_0,121.58
2015-01-31,d_round_3_0,169.01
2015-01-31,d_round_4_0,217.48
2015-01-31,d_round_5_0,178.53
2015-01-31,d_total,124.55
2015-02-01,d_round_0_5,107.25
2015-02-01,d_round_0_7,111.37
2015-02-01,d_round_0_9,109.14
2015-02-01,d_round_1_0,114.75
2015-02-01,d_round_1_5,114.19
2015-02-01,d_round_2_0,121.5
2015-02-01,d_round_3_0,168.8
2015-02-01,d_round_4_0,217.49
2015-02-01,d_round_5_0,178.5
2015-02-01,d_total,124.49
2015-02-02,d_round_0_5,107.18
2015-02-02,d_round_0_7,111.24
2015-02-02,d_round_0_9,109.01
2015-02-02,d_round_1_0,114.77
2015-02-02,d_round_1_5,114.23
2015-02-02,d_round_2_0,121.55
2015-02-02,d_round_3_0,168.84
2015-02-02,d_round_4_0,217.49
2015-02-02,d_round_5_0,178.5
2015-02-02,d_total,124.45
2015-02-03,d_round_0_5,106.26
2015-02-03,d_round_0_7,110.48
2015-02-03,d_round_0_9,108.29
2015-02-03,d_round_1_0,114.1
2015-02-03,d_round_1_5,113.75
2015-02-03,d_round_2_0,120.88
2015-02-03,d_round_3_0,166.89
2015-02-03,d_round_4_0,217.46
2015-02-03,d_round_5_0,184.16
2015-02-03,d_total,123.85
2015-02-04,d_round_0_5,106.22
2015-02-04,d_round_0_7,110.31
2015-02-04,d_round_0_9,108.16
2015-02-04,d_round_1_0,114.0
2015-02-04,d_round_1_5,113.45
2015-02-04,d_round_2_0,120.84
2015-02-04,d_round_3_0,166.67
2015-02-04,d_round_4_0,217.75
2015-02-04,d_round_5_0,183.84
2015-02-04,d_total,123.79
2015-02-05,d_round_0_5,106.22
2015-02-05,d_round_0_7,110.31
2015-02-05,d_round_0_9,108.16
2015-02-05,d_round_1_0,114.0
2015-02-05,d_round_1_5,113.45
2015-02-05,d_round_2_0,120.84
2015-02-05,d_round_3_0,166.67
2015-02-05,d_round_4_0,217.75
2015-02-05,d_round_5_0,183.84
2015-02-05,d_total,123.79
2015-02-06,d_round_0_5,106.01
2015-02-06,d_round_0_7,110.46
2015-02-06,d_round_0_9,108.27
2015-02-06,d_round_1_0,113.75
2015-02-06,d_round_1_5,113.48
2015-02-06,d_round_2_0,120.67
2015-02-06,d_round_3_0,166.21
2015-02-06,d_round_4_0,226.16
2015-02-06,d_round_5_0,182.32
2015-02-06,d_total,123.59
2015-02-07,d_round_0_5,106.01
2015-02-07,d_round_0_7,110.46
2015-02-07,d_round_0_9,108.27
2015-02-07,d_round_1_0,113.75
2015-02-07,d_round_1_5,113.48
2015-02-07,d_round_2_0,120.67
2015-02-07,d_round_3_0,166.21
2015-02-07,d_round_4_0,226.16
2015-02-07,d_round_5_0,182.32
2015-02-07,d_total,123.59
2015-02-08,d_round_0_5,106.01
2015-02-08,d_round_0_7,110.46
2015-02-08,d_round_0_9,108.27
2015-02-08,d_round_1_0,113.75
2015-02-08,d_round_1_5,113.48
2015-02-08,d_round_2_0,120.67
2015-02-08,d_round_3_0,166.21
2015-02-08,d_round_4_0,226.16
2015-02-08,d_round_5_0,182.32
2015-02-08,d_total,123.59
2015-02-09,d_round_0_5,105.45
2015-02-09,d_round_0_7,110.09
2015-02-09,d_round_0_9,108.04
2015-02-09,d_round_1_0,113.62
2015-02-09,d_round_1_5,113.25
2015-02-09,d_round_2_0,120.55
2015-02-09,d_round_3_0,166.1
2015-02-09,d_round_4_0,217.41
2015-02-09,d_round_5_0,182.68
2015-02-09,d_total,123.47
2015-02-10,d_round_0_5,105.79
2015-02-10,d_round_0_7,110.35
2015-02-10,d_round_0_9,108.41
2015-02-10,d_round_1_0,113.77
2015-02-10,d_round_1_5,113.42
2015-02-10,d_round_2_0,120.73
2015-02-10,d_round_3_0,166.31
2015-02-10,d_round_4_0,217.4
2015-02-10,d_round_5_0,182.4
2015-02-10,d_total,123.64
2015-02-11,d_round_0_5,105.84
2015-02-11,d_round_0_7,110.45
2015-02-11,d_round_0_9,108.74
2015-02-11,d_round_1_0,113.98
2015-02-11,d_round_1_5,113.66
2015-02-11,d_round_2_0,120.96
2015-02-11,d_round_3_0,166.29
2015-02-11,d_round_4_0,217.85
2015-02-11,d_round_5_0,182.17
2015-02-11,d_total,123.86
2015-02-12,d_round_0_5,105.86
2015-02-12,d_round_0_7,110.46
2015-02-12,d_round_0_9,108.88
2015-02-12,d_round_1_0,113.97
2015-02-12,d_round_1_5,113.63
2015-02-12,d_round_2_0,120.98
2015-02-12,d_round_3_0,166.74
2015-02-12,d_round_4_0,217.89
2015-02-12,d_round_5_0,182.42
2015-02-12,d_total,123.9
2015-02-13,d_round_0_5,105.84
2015-02-13,d_round_0_7,110.46
2015-02-13,d_round_0_9,108.76
2015-02-13,d_round_1_0,113.98
2015-02-13,d_round_1_5,113.56
2015-02-13,d_round_2_0,120.99
2015-02-13,d_round_3_0,165.88
2015-02-13,d_round_4_0,217.8
2015-02-13,d_round_5_0,182.61
2015-02-13,d_total,123.83
2015-02-14,d_round_0_5,106.06
2015-02-14,d_round_0_7,110.72
2015-02-14,d_round_0_9,109.0
2015-02-14,d_round_1_0,113.98
2015-02-14,d_round_1_5,113.7
2015-02-14,d_round_2_0,120.93
2015-02-14,d_round_3_0,166.35
2015-02-14,d_round_4_0,216.84
2015-02-14,d_round_5_0,182.62
2015-02-14,d_total,123.87
2015-02-15,d_round_0_5,106.08
2015-02-15,d_round_0_7,110.83
2015-02-15,d_round_0_9,108.97
2015-02-15,d_round_1_0,114.0
2015-02-15,d_round_1_5,113.7
2015-02-15,d_round_2_0,120.81
2015-02-15,d_round_3_0,166.18
2015-02-15,d_round_4_0,216.79
2015-02-15,d_round_5_0,182.69
2015-02-15,d_total,123.86
2015-02-16,d_round_0_5,106.06
2015-02-16,d_round_0_7,110.82
2015-02-16,d_round_0_9,108.97
2015-02-16,d_round_1_0,114.03
2015-02-16,d_round_1_5,113.74
2015-02-16,d_round_2_0,120.78
2015-02-16,d_round_3_0,166.19
2015-02-16,d_round_4_0,215.45
2015-02-16,d_round_5_0,182.68
2015-02-16,d_total,123.86
2015-02-17,d_round_0_5,106.03
2015-02-17,d_round_0_7,110.72
2015-02-17,d_round_0_9,109.0
2015-02-17,d_round_1_0,114.06
2015-02-17,d_round_1_5,113.67
2015-02-17,d_round_2_0,120.81
2015-02-17,d_round_3_0,166.22
2015-02-17,d_round_4_0,215.9
2015-02-17,d_round_5_0,182.05
2015-02-17,d_total,123.85
2015-02-18,d_round_0_5,105.8
2015-02-18,d_round_0_7,110.56
2015-02-18,d_round_0_9,108.69
2015-02-18,d_round_1_0,113.9
2015-02-18,d_round_1_5,113.18
2015-02-18,d_round_2_0,120.2
